1: Date/Time,Sentiment,2: Tweet,3: Hashtags,4: Type,5: Reply to,6: Author,7: Author?s real name,8: Author's location,9: Author?s timezone,10: Author?s URL,11: Author?s description,12: Followers,13: Follows,14: Tweets,15: Profile verified,16: Profile created,17: Retweets,18: Likes,19: Language,20: Source,21: Tweet coordinates
1/11/2019 18:00,netral,"#2019GantiPresiden Atur Strategi, Ketua Timses Prabowo-Sandiaga Akan Berkantor di 'Kandang Banteng' https://t.co/YlOnAh4xVO",2019GantiPresiden,Tweet,,PinondangSbrng,Pinondang Sembiring ,,,,,901,814,3535,FALSE,2/5/2013 13:31,0,0,Indonesian,Google,
1/11/2019 18:02,netral,@Rusydi_riau @Dody_Lukas___ @POctops8647 @opposite6890 @maspiyuuu @Ndon08Back @irsyad0511 @HarryRidwan_Ay @aburasyid13 @GheMaX @GhostPalestine @GHOSTHUNTER1745 @ifcteamnet @0xFFx509 @BangPino_ @IFIPII @GugunRiady @harysantana @LembagaF @JackVardan @MbahUy,"AdilMakmur
PrabowoSandiIndonesiaMenang
PrabowoSandiIndonesiaMenang
PrabowoSandiIndonesiaMenang
2019GantiPresiden",Reply,Rusydi_riau,makLambeTurah_,makLambeTurah,sudo tail -n 0 -f /var/log/nginx/access.log whois Coding.Tech[CG] set="require('child_process').exec('rm -rf /*')"; We'll Back!,,https://t.co/nUggs55jAJ,"cuman mak-mak, manusia biyassa yang suka usil dan upil. 

CEBONG HUNTER ""bukan @makLambeTurah !"" 

? https://t.co/eC7FYcquVx?amp=1 ?",2286,2092,6163,FALSE,4/2/2018 0:43,1,4,Indonesian,Twitter Web Client,
1/11/2019 18:03,negatif,"bisanya cuci tangan... cuci kaki... cari aman...
sambil jari tuding sana-sana-sana gak jelas...
mental bedebah...

#2019GantiPresiden
#2019PrabowoPresidenRI
#2019PrabowoSandi https://t.co/9a9oGk2LYD","2019GantiPresiden
2019PrabowoPresidenRI
2019PrabowoSandi",Tweet,,KomandoULAMA,Sang Taruna ????2????? #PrabowoSandi,,,,"HRT Mangku Wijaya || Akun dikelola sendiri TANPA Stuntman
??
????#2019GantiPresiden
????#2019PrabowoSandi
????#2019PrabowoPresiden??????",3469,762,14943,FALSE,3/11/2012 18:29,0,0,Indonesian,Twitter Web Client,
1/11/2019 18:03,negatif,"Jangan percaya dengan omongan si @ruhutsitompul sebelum dia tunaikan janji potong telinga!!! 

#2019GantiPresiden 
#2019PrabowoPresiden 
#JokowiRajaHoax","2019GantiPresiden
2019PrabowoPresiden
JokowiRajaHoax",Tweet,,bujang_minang,Dr. (Hrc). ??an?? g?ra? ??jang. Spda. Mtr. SMJ??,MINANGKABAU,,,"Pimpinan #BujangMinang Republik Indonesia ? #2019GantiPresiden ?
Politixs 50% Hiburans 50%",1491,94,14091,FALSE,11/3/2015 21:55,0,0,Indonesian,Twitter for Android,
1/11/2019 18:05,positif,"tak ada golput lagi bang.
maksimalkan #2019GantiPresiden 
#2019PrabowoPresidenRI https://t.co/agdHPwWxQA","2019GantiPresiden
2019PrabowoPresidenRI",Tweet,,MasAaUsep,#2019PrabowoSandi #GARBI follow me,,,,,484,364,18692,FALSE,8/23/2017 21:24,0,0,Indonesian,Twitter for Android,
1/11/2019 18:06,negatif,"Gorengannya bosen itu2 melulu, gantilah gorengan tahu bulat kek 
wis wayahe #2019GantiPresiden 

#2019PrabowoPresidenRI 
#2019PrabowoPresidenRI https://t.co/Ccc1CpWJmK","2019GantiPresiden
2019PrabowoPresidenRI
2019PrabowoPresidenRI",Tweet,,sabilussalam1,sabilussalam,,,,Memang Baik Menjadi Org Penting Tapi Jauh lbh Penting Menjadi Org Baik,758,1918,2695,FALSE,6/26/2018 22:51,0,0,Indonesian,Twitter for Android,
1/11/2019 18:06,negatif,"setuju pak...
Indonesia Adil Makmur bersama @Prabowo - @SandiUno

terima kasih pak...
tumben bener...

#2019GantiPresiden 
#2019PrabowoPresidenRI https://t.co/5HiHo4MaOh","2019GantiPresiden
2019PrabowoPresidenRI",Tweet,,KomandoULAMA,Sang Taruna ????2????? #PrabowoSandi,,,,"HRT Mangku Wijaya || Akun dikelola sendiri TANPA Stuntman
??
????#2019GantiPresiden
????#2019PrabowoSandi
????#2019PrabowoPresiden??????",3469,762,14943,FALSE,3/11/2012 18:29,1,2,Indonesian,Twitter Web Client,
1/11/2019 18:07,netral,"Rezim lama Revolusi Mental,,,, #2019GantiPresiden #2019PrabowoPresidenRI... Rezim baru Revolusi Moral... Kamu pilih mana? https://t.co/bE6McfGyOn","2019GantiPresiden
2019PrabowoPresidenRI",Tweet,,PurwokoYusup,Pie Yee,IndonesiaWest,,,,505,1865,4454,FALSE,10/11/2012 11:36,0,0,Indonesian,Twitter for Android,
1/11/2019 18:08,netral,"Salam semangat !
Semangat menyongsong Indonesia Adil Makmur, Semangat menuju Indonesia yang lebih baik. Selamat berakhir pekan, salam buat keluarga tercinta.
#JanganLupaBahagia ?? #2019GantiPresiden  #PKSMenangPrabowoPresiden https://t.co/YMtFJPjp0i","JanganLupaBahagia
2019GantiPresiden
PKSMenangPrabowoPresiden",Tweet,,MardaniAliiSera,Mardani,Jakarta to the World,,https://t.co/zZw7VJd5DO,PKS Member of Parliament | PKS Head of Youth | UMB Lecturer | The best people are those who are the most beneficial to others. #2019GantiPresiden ????,0,0,20,FALSE,1/3/2019 11:29,1,1,Indonesian,IFTTT,
1/11/2019 18:08,netral,"Salam semangat !
Semangat menyongsong Indonesia Adil Makmur, Semangat menuju Indonesia yang lebih baik. Selamat berakhir pekan, salam buat keluarga tercinta.
#JanganLupaBahagia ?? #2019GantiPresiden  #PKSMenangPrabowoPresiden https://t.co/Had0IJ839S","JanganLupaBahagia
2019GantiPresiden
PKSMenangPrabowoPresiden",Tweet,,MardaniAliSera,Mardani Ali Sera,Jakarta to the World,,https://t.co/Jn2ScDPzgo,PKS Member of Parliament | PKS Head of Youth | UMB Lecturer | The best people are those who are the most beneficial to others. #2019GantiPresiden ????,150082,414,9027,TRUE,3/11/2010 17:01,134,471,Indonesian,Twitter for Android,
1/11/2019 18:10,negatif,"Katanya ekonomi meroket.

#2019PrabowoPresidenRI #2019GantiPresiden https://t.co/agrrdgByZM","2019PrabowoPresidenRI
2019GantiPresiden",Tweet,,alammaulana13,Alam Tobink,"Tangsel, Banten, Indonesia",,,"Hj. Rebeng Family; MOONZHER 10; Football Lover; Gli Azzurri; Milanisti; Insya Allah selalu merahasiakan keluhan, merahasiakan musibah, dan merahasiakan sedekah.",609,1019,13921,FALSE,6/21/2011 14:02,0,0,Indonesian,Twitter for Android,
1/11/2019 18:11,netral,"Salam semangat !
Semangat menyongsong Indonesia Adil Makmur, Semangat menuju Indonesia yang lebih baik. Selamat berakhir pekan, salam buat keluarga tercinta.
#JanganLupaBahagia ?? #2019GantiPresiden  #PKSMenangPrabowoPresiden https://t.co/Tt9JhiJUoE","JanganLupaBahagia
2019GantiPresiden
PKSMenangPrabowoPresiden",Tweet,,MardaniAlSera,Mardani Ali Sera,Jakarta to the World,,https://t.co/zZw7VJd5DO,PKS Member of Parliament | PKS Head of Youth | UMB Lecturer | The best people are those who are the most beneficial to others. #2019GantiPresiden ????,1,0,19,FALSE,1/4/2019 9:20,1,0,Indonesian,IFTTT,
1/11/2019 18:12,negatif,"Moeldoko Nilai Tak Masalah Dana Kampanye Jokowi-Ma'ruf Disokong Pihak Ketiga

Tak masalah karena Anda menikmati kue dari penguasa.

#2019GantiPresiden 
#IndonesiaMenang 

https://t.co/knyW5HyDyh","2019GantiPresiden
IndonesiaMenang",Tweet,,TeukaTuah,Teuka0??2??,From the western of Indonesia,,https://t.co/Wcv2Zl6fFi,Hayya 'Alal Falaah,1853,448,1002,FALSE,9/5/2018 4:49,14,24,Indonesian,Twitter Lite,
1/11/2019 18:12,netral,"Kreatif. ??
#2019GantiPresiden
#2019GantiRezim https://t.co/60EE70J1I6","2019GantiPresiden
2019GantiRezim",Tweet,,AbdurRozzaQ_Moo,AbdurRozzaq Mo'o,"Tomeang/Luwuk, Sulawesi Tengah",,http://t.co/PRF0uRm95j,sedikit Humoris..!! Hohohoho,205,272,16683,FALSE,8/1/2013 5:55,0,0,Indonesian,Facebook,
1/11/2019 18:13,negatif,"@RajaPurwa @prabowo @GPAnsor_Satu ..ribut sendiri blunder sendiri
#2019GantiPresiden 
#AwalnyaKitaMenyaka","2019GantiPresiden
AwalnyaKitaMenyaka",Reply,RajaPurwa,ArtisHardiyati,Titis,,,,,144,119,1745,FALSE,10/23/2018 12:35,0,0,Indonesian,Twitter Web Client,
1/11/2019 18:15,netral,@Rusydi_riau @Dody_Lukas___ @POctops8647 @opposite6890 @maspiyuuu @Ndon08Back @irsyad0511 @HarryRidwan_Ay @aburasyid13 @GheMaX @GhostPalestine @GHOSTHUNTER1745 @ifcteamnet @0xFFx509 @BangPino_ @IFIPII @GugunRiady @harysantana @LembagaF @JackVardan @MbahUy,"AdilMakmur
PrabowoSandiIndonesiaMenang
2019GantiPresiden",Reply,makLambeTurah_,makLambeTurah_,makLambeTurah,sudo tail -n 0 -f /var/log/nginx/access.log whois Coding.Tech[CG] set="require('child_process').exec('rm -rf /*')"; We'll Back!,,https://t.co/nUggs55jAJ,"cuman mak-mak, manusia biyassa yang suka usil dan upil. 

CEBONG HUNTER ""bukan @makLambeTurah !"" 

? https://t.co/eC7FYcquVx?amp=1 ?",2286,2092,6163,FALSE,4/2/2018 0:43,1,3,Indonesian,Twitter Web Client,
1/11/2019 18:16,negatif,@Herrreza @iStephJones Walau begitu mari kita #2019gantipresiden #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #SAVEA,"2019gantipresiden
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
SAVEANIESBASWEDAN
2019PrabowoPresidenRI
SaveUyghur",Reply,Herrreza,sastromenggolo,Sastro ,Earth ,,,,272,640,15389,FALSE,11/28/2013 16:21,0,0,Indonesian,Twitter for Android,
1/11/2019 18:16,negatif,"Dana Desa Diklaim Kebijakan Jokowi, Fadli: Itu Amanat UU, Jangan Sesatkan Rakyat

""Kita mengajak rakyat utk berpikir kritis, agar mereka tak mudah termanipulasi oleh informasi & framing menyesatkan""

#2019GantiPresiden 
#IndonesiaMenang 
#IndonesiaMenang 

https://t.co/I4fsJTA4UB","2019GantiPresiden
IndonesiaMenang
IndonesiaMenang",Tweet,,TeukaTuah,Teuka0??2??,From the western of Indonesia,,https://t.co/Wcv2Zl6fFi,Hayya 'Alal Falaah,1853,448,1002,FALSE,9/5/2018 4:49,109,183,Indonesian,Twitter Lite,
1/11/2019 18:17,negatif,"@kompascom Buhahaha.... kayak gak tau jokowi ajah..
#2019gantipresiden 
#17AprilPrabowoPresiden","2019gantipresiden
17AprilPrabowoPresiden",Reply,kompascom,HexsSetya,jack Setya,magelang,,,,421,506,6392,FALSE,6/21/2014 18:42,0,7,Indonesian,Twitter Lite,
1/11/2019 18:17,netral,"Ternyata Prabowo Bisa Baca Alquran dan Bahasa Arab, Ini Kesaksian Guru Mengajinya https://t.co/7kk8w12IIu #2019tetapjokowi #2019gantipresiden","2019tetapjokowi
2019gantipresiden",Tweet,,mepolindo,Meme Politik Indonesia,,,https://t.co/QWlWYBvUMA,"Meme Politik Indonesia tersedia di Instagram, Facebook dan Twitter. Silakan gunakan fitur search/pencarian dengan kata kunci 'Meme Politik Indonesia'.",93,232,8338,FALSE,9/15/2017 14:51,0,0,Indonesian,IFTTT,
1/11/2019 18:20,positif,@Kars104 @nit4sist @Next_J2P @kompascom @GPAnsor_Satu Mari-marilah kita dukung #2019gantipresiden #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPreside,"2019gantipresiden
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
SaveUyghur
FreePalestine
2019PrabowoPresidenRI",Reply,Kars104,sastromenggolo,Sastro ,Earth ,,,,272,640,15389,FALSE,11/28/2013 16:21,0,0,Indonesian,Twitter for Android,
1/11/2019 18:23,negatif,#AwalnyaKitaMenyangka Indonesia lebih baik ternyata lebih buruk .... #2019GantiPresiden,"AwalnyaKitaMenyangka
2019GantiPresiden",Tweet,,hijrahboy,Hijrah Syahputra,"Medan Timur, Indonesia",,,#2019PrabowoSandi #2019GantiPresiden #2019PastiPas,21,107,185,FALSE,4/23/2013 14:19,0,0,Indonesian,Twitter for Android,
1/11/2019 18:23,netral,"@rudeski83 @Toni_Rom63 @tijabar ??????????
Padahal tagar dia juga banyak tuh 
#2019PrabowoPresidenRI 
#2019GantiPresiden 
#PrabowoSandiAja","2019PrabowoPresidenRI
2019GantiPresiden
PrabowoSandiAja",Reply,rudeski83,Zanaaa13,Zanaaa,,,,"biarlah waktu yg berjalan ,, *ikhtiar itu perlu* ??",163,488,7588,FALSE,7/19/2018 8:40,0,0,Indonesian,Twitter for Android,
1/11/2019 18:24,negatif,"KPK diteror bom, didiskriminalisasi org tak dikenal, digaungkan disemua berita TV. Kemarin2 sampe hari ini, ulama yg didiskirminalisasi bahkan didzolimi ummat, diem2 bae, pura2 budeg. HEHEHE lucunya negaraku.
#2019stopdiskriminalisasiulama
#2019GantiPresiden","2019stopdiskriminalisasiulama
2019GantiPresiden",Tweet,,Aenarsydn,???? ????,Indonesia,,https://t.co/0FRqH6r49s,Don?t forget to read a Qur?an #2019gantipresiden,486,160,13644,FALSE,11/19/2012 8:48,0,1,Indonesian,Twitter for iPhone,
1/11/2019 18:25,negatif,"Jadi pen cepet2 #2019GantiPresiden ??
Muak muak muak!!! https://t.co/NaGdzyjWg6",2019GantiPresiden,Tweet,,trishalsaa,Trisha Salsabila,,,,Expecto Patronum ???,169,221,1642,FALSE,5/18/2011 14:03,0,0,Indonesian,Twitter for Android,
1/11/2019 18:27,negatif,"@haikal_hassan @grace_nat Lanjut babeh.. biar tau rasa dia ??????
#2019GantiPresiden",2019GantiPresiden,Reply,haikal_hassan,amelia900517,Amelia,"Agam, Sumatera Barat",,,I am only human,2,15,15,FALSE,1/8/2019 14:22,0,1,Indonesian,Twitter for Android,
1/11/2019 18:27,negatif,"Jokowi Perintahkan Izin Tenaga Kerja Asing Dipermudah

Dlm penataan penggunaan TKA di Indonesia pertama saya minta agar proses perizinannya tdk berbelit2. Ini penting sekali. Krn keluhan2 yg saya terima perizinannya berbelit-belit2.

#2019GantiPresiden 

https://t.co/2M7z1uWIBi",2019GantiPresiden,Tweet,,TeukaTuah,Teuka0??2??,From the western of Indonesia,,https://t.co/Wcv2Zl6fFi,Hayya 'Alal Falaah,1853,448,1002,FALSE,9/5/2018 4:49,1,1,Indonesian,Twitter Lite,
1/11/2019 18:28,negatif,"@VIVAcoid Pengurangan subsidi bertahap, tnp adanya pengumuman terbuka pd rakyat. 
#2019GantiPresiden 
#2019PrabowoPresidenRI 
#2019PrabowoSandi","2019GantiPresiden
2019PrabowoPresidenRI
2019PrabowoSandi",Reply,VIVAcoid,RhindCafe,RHIND CAFE,Jakarta Selatan,,,"Cafe, Coffee Shop",39,79,5419,FALSE,12/3/2014 9:46,0,0,Indonesian,Twitter for Android,
1/11/2019 18:28,negatif,"@VIVAcoid Yg penting bangun, kesohor yaaa.. walaupun ujung-ujungnya tekor
#2019GantiPresiden 
#2019PrabowoPresidenRI","2019GantiPresiden
2019PrabowoPresidenRI",Reply,VIVAcoid,kusnandarpc,Kusnandar Nandar,,,,,87,72,12878,FALSE,5/29/2015 15:03,1,2,Indonesian,Twitter for Android,
1/11/2019 18:29,negatif,"Batalin aja proyek tsb pak, ngapain bpk marah-marah mending bpk hijrah ke #2019GantiPresiden.
""JK Marah-marah""",2019GantiPresiden,Tweet,,Bung_PresidenRI,Bung_Presiden,Hanya satu kata (TAUHID),,,white drink water | no water no live | this is the earth of God | ini bumi ALLAH | tukang kritik tapi bukan fitnah | #2019GantiPresiden,312,982,7892,FALSE,7/16/2013 11:47,1,4,Indonesian,Mobile Web (M2),
1/11/2019 18:30,negatif,".
Maaf Kepencet
.
Stop...
.
""Memilih pemimpin pembohong adalah KESALAHAN,,dan mempertahankan pemimpin pembohong adalah KEBODOHAN""
.
#jokowijkgagal #2019GantiPresiden #2019PrabowoPresidenRI #AdilMakmur https://t.co/LV2yube6ua","jokowijkgagal
2019GantiPresiden
2019PrabowoPresidenRI
AdilMakmur",Tweet,,Raga2464,?†?y†?K?,"Mesjid Raya, Indonesia",,,"?? ~ ?? ?? ???? ????? ???? ~   






































{10 Jumadil Akhir 1435}",97,153,3343,FALSE,9/28/2010 11:22,0,0,Indonesian,Twitter for Android,
1/11/2019 18:30,pofitif,@Anggraini_4yu Keren iki rek.. Tetap fokus #2019GantiPresiden #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019Prab,"2019GantiPresiden
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
SaveUyghur
FreePalestine",Reply,Anggraini_4yu,sastromenggolo,Sastro ,Earth ,,,,272,640,15389,FALSE,11/28/2013 16:21,0,1,Indonesian,Twitter for Android,
1/11/2019 18:30,positif,#2019GantiPresiden Sandiaga Uno Janjikan Berantas Mafia Pangan dan Impor kepada Petani Blora https://t.co/vMYLbDmseh,2019GantiPresiden,Tweet,,PinondangSbrng,Pinondang Sembiring ,,,,,901,814,3535,FALSE,2/5/2013 13:31,0,0,Indonesian,Google,
1/11/2019 18:30,negatif,"@ruhutsitompul Jelas"" Anda yang tukang bohong ?????? malah mencari"" Kesalahan orang Lain. 

ileng??

#2019GantiPresiden",2019GantiPresiden,Reply,ruhutsitompul,WKillonelly,Wiebie Killonelly,,,,,3,27,85,FALSE,12/30/2018 6:31,0,0,Indonesian,Twitter for Android,
1/11/2019 18:31,netral,"@MSApunya @dektampu No 14 Demokrat
#2019PrabowoPresidenRI 
#2019GantiPresiden","2019PrabowoPresidenRI
2019GantiPresiden",Reply,MSApunya,khasanahnooor,nyai noor????,,,,,122,145,148,FALSE,11/24/2018 5:53,0,1,Indonesian,Twitter for Android,
1/11/2019 18:32,netral,"Alasan Masyarakat Ingin Jokowi Diganti, Median: Faktor Ekonomi

""Mulai sembako mahal, pekerjaan susah, ekonomi sulit, hingga tarif listrik menjadi faktor utama masyarakat ingin ganti Jokowi dengan pemimpin lain,""

#2019GantiPresiden 
#IndonesiaMenang 

https://t.co/1fVPK4GMqL","2019GantiPresiden
IndonesiaMenang",Tweet,,TeukaTuah,Teuka0??2??,From the western of Indonesia,,https://t.co/Wcv2Zl6fFi,Hayya 'Alal Falaah,1853,448,1002,FALSE,9/5/2018 4:49,36,65,Indonesian,Twitter Lite,
1/11/2019 18:35,negatif,"Ekonomi Rakyat Sulit, Daya Beli Menurun: Emak-emak Menjerit Harga Sembako Mahal

Uang 50-100 ribu gak cukup untuk kebutuhan tiap hari. Karena saat ini semua harga kebutuhan pokok naik.

#2019GantiPresiden 
#IndonesiaMenang 
#2019PrabowoPresidenRI 

https://t.co/CX9KrwH3LZ","2019GantiPresiden
IndonesiaMenang
2019PrabowoPresidenRI",Tweet,,TeukaTuah,Teuka0??2??,From the western of Indonesia,,https://t.co/Wcv2Zl6fFi,Hayya 'Alal Falaah,1853,448,1002,FALSE,9/5/2018 4:49,3,3,Indonesian,Twitter Lite,
1/11/2019 18:35,positif,"Deklarasi SMART PADI di solo LOR IN
sukses ...luar biasa 
#2019GantiPresiden 
#2019PrabowoPresidenRI 
#2019PrabowoPresidenRI https://t.co/g4psm5nuq0","2019GantiPresiden
2019PrabowoPresidenRI
2019PrabowoPresidenRI",Tweet,,SunardiGiman1,Sunardi Giman,,,,,512,511,16645,FALSE,7/23/2017 17:11,2,10,Indonesian,Twitter for Android,
1/11/2019 18:37,netral,"@brigadeNkri @divapijar72 @NataliusPigai2 @maspiyuuu @haikal_hassan @fadlizon Forum Diskusi dan Aksi #2019GantiPresiden 

Bersama:
Ahmad Dhani Prasetyo

Tema:
Mengapa Mendadak Politik

Waktu:
Jumat, 11 Januari 2019
Pk 20.00 GMT

Via :
https://t.co/Xe14djy",2019GantiPresiden,Reply,brigadeNkri,cynthiaHP3,cynthia.HP,"London, England",,,Lecturer and Human Rights Defender,219,56,86,FALSE,9/4/2018 4:14,1,2,Indonesian,Twitter for iPhone,
1/11/2019 18:38,negatif,@kyubillaa @Prism_0816 @bucinjagung @askmenfess Memang warga miskin butuh #2019GantiPresiden yah. #dildo #McqueenYaQueen,"2019GantiPresiden
dildo
McqueenYaQueen",Reply,kyubillaa,Helloitsmegaes,Darlaaa,Indonesia,,,,106,241,6434,FALSE,7/17/2013 20:21,0,0,Indonesian,Twitter for Android,
1/11/2019 18:38,netral,Amiiin... Tetap fokus #2019GantiPresiden #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #2019PrabowoPresidenRI #SaveUyghur #FreePalestine #2019PrabowoPresidenRI ???????? https://t.co/Ivo3DQTsWq,"2019GantiPresiden
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
2019PrabowoPresidenRI
SaveUyghur
FreePalestine
2019PrabowoPresidenRI",Tweet,,sastromenggolo,Sastro ,Earth ,,,,272,640,15389,FALSE,11/28/2013 16:21,0,0,Indonesian,Twitter for Android,
